n_qubits,rel-L2 (u),eff-dim,kernel rank,MW-Q,meas-H,params,2^q
2,0.012459031771868467,1.3001294154571488,9,0.22864873604241398,1.38223895007352,2486,4
4,0.007413348415866494,2.4873462052992417,22,0.7880064025653798,3.1987008746257017,2634,16
6,0.007131791324354708,2.504372820513849,29,0.8784954700755542,3.960625908133345,2782,64
