,PINN2D,QPINN2D
gradient norm,0.07769244909286499,0.029419172555208206
gradient variance,7.062953553911485e-21,1.8426074992426642e-20
parameter norm,16.522470474243164,7.491656303405762
Hessian λmax,469.06097412109375,271.0064697265625
condition number,341559.77752906154,15258.31615034367
Hessian trace,1343.6794128417969,783.5276458740234
stable-lr ceiling,0.004263837987689148,0.007379897616532673
iters to 90% conv.,1.0,1.0
late volatility,4.410895940062025,6.2906614819646425
