qubits,params,IC err,BC err,Rel L2,MAE,RMSE,train (s),infer mem (MB),peak RAM (MB)
3,133,0.5589752793312073,0.003203250467777252,0.9701765320961541,0.5243680381972392,0.6022651673049769,235.82601109999996,17.3486328125,18.765625
4,147,0.5628531575202942,0.001352890394628048,1.0249564208523492,0.5562168396749996,0.6362713690375787,335.28501870000036,17.357421875,18.7919921875
5,161,0.19503343105316162,0.013053648173809052,0.9188973141962876,0.4927787067220351,0.5704321083450735,463.9917303000002,17.3662109375,18.81689453125
